ID,Severity,VPR Score (Beta),VPR Score,CVSS Score,Plugin Name,Software,Path,Software Fix Version
CVE-2026-43037,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43037,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-43011,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-43011,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31789,Critical,6.9,7.4,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31789,openssl-libs 1:3.5.1-7.el10_1,,
CVE-2026-31789,Critical,6.9,7.4,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31789,openssl 1:3.5.1-7.el10_1,,
CVE-2026-31789,Critical,6.9,7.4,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31789,mokutil 2:0.7.2-1.el10,,
CVE-2026-31789,Critical,6.9,7.4,9.8,OpenSSL 3.0.0 < 3.0.20 Multiple Vulnerabilities,"The OpenSSL Toolkit 3.0.10
The OpenSSL Toolkit 3.0.8","C/Program Files (x86)/Trend Micro/Endpoint Basecamp/modules/vom/modules/Mosquitto/libcrypto-3.dll
C/Program Files (x86)/Trend Micro/Endpoint Basecamp/modules/vom/modules/Mosquitto/libssl-3.dll
C/Program Files (x86)/Trend Micro/Security Agent/CCSF/module/scan/libcrypto-3-x64.dll
C/Program Files (x86)/Trend Micro/Security Agent/CCSF/module/scan/libssl-3-x64.dll
C/Program Files (x86)/Trend Micro/Security Agent/libcrypto-3-x64.dll
C/Program Files (x86)/Trend Micro/Security Agent/libssl-3-x64.dll
C/Program Files/VMware/VMware Tools/VMware VGAuth/libcrypto-3-x64.dll
C/Program Files/VMware/VMware Tools/VMware VGAuth/libssl-3-x64.dll",3.0.20
CVE-2026-31718,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31718,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31705,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31705,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31669,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31669,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31669,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31669,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-31668,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31668,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31668,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31668,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-31659,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31659,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31657,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31657,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31649,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31649,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31649,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31649,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-31637,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31637,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31637,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31637,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-31633,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31633,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31633,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31633,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-31609,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31609,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31609,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31609,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-31608,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31608,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31607,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),python3-perf 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31607,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31607,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31607,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),kernel-tools-libs 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31607,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),kernel-tools 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31607,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),kernel-modules-core 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31607,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),kernel-modules 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31607,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),kernel-core 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31589,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31589,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31589,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31589,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-31536,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31536,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31533,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31533,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31533,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31533,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-31501,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31501,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31478,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31478,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31463,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31463,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31444,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31444,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31436,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31436,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31436,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31436,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-31414,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31414,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31414,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31414,kernel-core 6.12.0-124.52.1.el10_1,,
CVE-2026-31405,Critical,6.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31405,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31402,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),python3-perf 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31402,Critical,4.9,6.7,9.8,Linux Distros Unpatched Vulnerability : CVE-2026-31402,linux-aws-6.14-tools-6.14.0-1012 6.14.0-1012.12~24.04.1,,
CVE-2026-31402,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),kernel-tools-libs 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31402,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),kernel-tools 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31402,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),kernel-modules-core 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31402,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),kernel-modules 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-31402,Critical,4.9,6.7,9.8,RHEL 10 : kernel (RHSA-2026:19569),kernel-core 6.12.0-124.52.1.el10_1,,6.12.0-211.16.1.el10_2
CVE-2026-3062,Critical,7.6,6.7,9.8,,Microsoft Edge 135.0.3179.85,"C/Program Files (x86)/Microsoft/Edge/Application
C/Program Files (x86)/Microsoft/Edge/Application/msedge.exe
C/Program Files (x86)/Microsoft/Edge/Application/msedge_proxy.exe
C/Program Files (x86)/Microsoft/Edge/Application/pwahelper.exe",145.0.3800.82
CVE-2026-27143,Critical,4.9,6.7,9.8,Golang: stdlib: security update to 1.25.9stdlib: security update to 1.26.2,"go 1.20.4
go 1.21.1
go 1.21.11
go 1.22.11","/C/Config.Msi/4bb78.rbf
/C/Program Files/Amazon/SSM/amazon-ssm-agent.exe
/C/Program Files/Amazon/SSM/ssm-agent-worker.exe
/C/Program Files/Amazon/SSM/ssm-cli.exe
/C/Program Files/Amazon/SSM/ssm-document-worker.exe
/C/Program Files/Amazon/SSM/ssm-session-logger.exe
/C/Program Files/Amazon/SSM/ssm-session-worker.exe
/C/Program Files/Trend Micro/Cloud Endpoint/modules/NetFilterBridgeModule/tm_netinst.exe
/C/ProgramData/Amazon/SSM/Update/amazon-ssm-agent-updater/3.3.1957.0/updater.exe
/C/Users/Chico/AppData/Local/Microsoft/Edge/User Data/Default/Cache/Cache_Data/f_0000d1
/C/Users/Chico/Downloads/Bugsy.exe",1.25.9
